"LINE_TYPE","CUSTOMER_NAME","PO_NUMBER","QUOTE_NUMBER","SALES_ORDER_DATE","SALES_ORDER_NUMBER","SALESORDER_LINE_NUMBER","SALESORDER_LINE_ID","REVENUE_START_DATE","REVENUE_END_DATE","LINE_ITEM_NUMBER","ORDERED_QTY","EXT_SELL_PRICE","EXT_LIST_PRICE","TRANSACTION_CURRENCY","FUNCTIONAL_EX_RATE","FUNCUTIONAL_CURRENCY","GLOBAL_EX_RATE","DEFFERED_SEGMENTS_NO","DEFFERED_SEGMENTS_NAME","INCOME_ACCOUNT_NO","INCOME_ACCOUNT_NAME","INVOICE_QTY","INVOICE_LINE_ID","INV_DATE","INV_LINE_NUM","INV_NUM","RET_QTY","ORIG_INV_LINE_ID","SSP_ELIGIBLE_FLAG","ALLOCATION_ELIGIBLE_FLAG","RIGHT_TO_BILLING_FLAG","ATR1_END_USER","ATR2_RESELLER","ATR3_CHANNEL","ATR5_CONVERSION_ORDERS_GROUPING","ATR6_ITEM_TYPE","ATR8_OPPORTUNITY_ID","ATR8_QTY_BAND","ATR10_REGION","ATR12_VSOE_BUCKET","NUM1_NET_LICENSE_PRICE","ATR7_FIELD_X","ATR15_ITEM_DESCRIPTION","DISCOUNT_PERCENT","ATR16_CM_REASON_CODE","ATR17_ACCEPTANCE_CLAUSE","ATR18_PAYMENT_TERM","ATR19_TERMINATION_FOR_CONVENIENCE_WITH_REFUND","ATR20_ORDER_CLOSE_DATE","ATR21_ORDER_FULFILLED_DATE","ATR22_PROJECT_NUMBER","ATR23_RENEWAL_FLAG","ATR24_RENEWAL_TRAIL","ATR26_BILL_TO","ATR27_DISTRIBUTOR","ATR28_REVENUE_ITEM_CATEGORY","REVPRO_ADD_LAST_MODIFIED_DATE","NUM","OPPORTUNITY_NAME","SW_UNIT_PRICE","CENTRIFY_PRORATED_LIST_PRICE","SERVICE_LEVEL","SF_PRORATED_MULTIPLIER","PARTNER_DISCOUNT_REFERRAL","CUSTOMER_ID","NETSUITE_CUSTOMER_ID","BUSINESS_UNIT","STATUS"
"INV","Achievers","CP00503315","Q-58576","01/30/2019","SO-0010",1,"SO-0010_a2m46000000ulIAAAY","01/18/2019","02/17/2020","RCSSA-5MACA-M-1YSS",1,195.29,216.99,"USD","1","USD","1","25620","Deferred Revenue : Contract Liability - Maintenance","43200","Maintenance Renewal","","","","","","","","","Y","Y","Achievers","SHI International Corp","Indirect","N","Maintenance Renewal","0064600000LnAFBAA3","","North America","Standard",0,"","IDaptive Suite Management - 5 Mac Admin Maintenance - 1 Year Standard Support - Renewal","","","N","Net 30","N","01/31/2019","01/30/2019","","Y","SUBREN: Achievers |40Macs (CDW)/Blackhawk Network","SHI International Corp",,"Maintenance Renewal","07/28/2019","","SUBREN: Achievers |40Macs (CDW)/Blackhawk Network 2019",0,216.99,"Standard",1.084932,"","0014600001YFssKAAT",1974,"A/E","Billed"
"INV","Achievers","CP00503315","Q-58576","01/30/2019","SO-0010",2,"SO-0010_a2m46000000ulISAAY","01/18/2019","02/17/2020","RCSWE-10MACW-M-1YSS",1,1777.16,1974.56,"USD","1","USD","1","25620","Deferred Revenue : Contract Liability - Maintenance","43200","Maintenance Renewal","","","","","","","","","Y","Y","Achievers","SHI International Corp","Indirect","N","Maintenance Renewal","0064600000LnAFBAA3","","North America","Standard",0,"","IDaptive for Mac - 10 Mac Workstation Maintenance - 1 Year Standard Support - Renewal","","","N","Net 30","N","01/31/2019","01/30/2019","","Y","SUBREN: Achievers |40Macs (CDW)/Blackhawk Network","SHI International Corp",,"Maintenance Renewal","07/28/2019","","SUBREN: Achievers |40Macs (CDW)/Blackhawk Network 2019",0,1974.56,"Standard",1.084932,"","0014600001YFssKAAT",1974,"A/E","Billed"
"INV","Relay Therapeutics","13644","Q-55589","01/30/2019","SO-0013",1,"SO-0013_a2m46000000uptpAAA","12/22/2018","12/21/2019","RCASB-1EU-1YSS",79,3217.67,4740,"USD","1","USD","1","25640","Deferred Revenue : Contract Liability - Subscription","44200","Subscriptions - SaaS Renewal","","","","","","","","","Y","Y","Relay Therapeutics","Coretelligent LLC","Indirect","N","Subscription","0064600000LnA5uAAF","","North America",,0,"","IDaptive App Service Standard - 1 B2E User - 1 Year Standard Support - Renewal","","","N","Net 30","N","01/31/2019","01/30/2019","","Y","Idaptive: Relay - 25 APP & Mac Bundle - Coretelligent","Coretelligent LLC",,"Subscription","07/28/2019","","Idaptive: Relay - 25 APP & Mac Bundle - Coretelligent",0,4740,"Standard",1,"","0014600001YFwLoAAL",29499,"A/E","Billed"
"INV","East West Bank","PO-44000079961981669","Q-54501","01/29/2019","SO-0007",1,"SO-0007_a2m46000000vD5fAAE","01/29/2019","01/28/2020","CESB-1U-1YPS",100,5940,6600,"USD","1","USD","1","25640","Deferred Revenue : Contract Liability - Subscription","44100","Subscriptions - SaaS","","","","","","","","","Y","Y","East West Bank","Optiv","Indirect","N","Subscription","0064600000LnBPUAA3","","North America",,0,"","IDaptive Endpoint Service Standard - 1 User - 1 Year Premium Support","","","N","Net 60","N","01/29/2019","01/29/2019","","N","East West Bank- 100 Macs Quote Optiv 9.6.18","Optiv",,"Subscription","07/28/2019","","East West Bank- 100 Macs Quote Optiv 9.6.18",0,6600,"Premium",1,"Optiv","0014600001YFzVwAAL",37704,"Not Applicable","Billed"
"INV","East West Bank","PO-44000079961981669","Q-54501","01/29/2019","SO-0007",2,"SO-0007_a2m46000000vD5gAAE","01/29/2019","07/28/2019","CCS-ES-MAC-JS",1,5462.5,5750,"USD","1","USD","1","25630","Deferred Revenue : Contract Liability - Professional Services","42110","Delivered Pre-billed Consulting","","","","","","","","","Y","Y","East West Bank","Optiv","Indirect","N","PS","0064600000LnBPUAA3","","North America",,0,"","Endpoint Services Mac JumpStart","","","N","Net 60","N","01/29/2019","01/29/2019",,"N","East West Bank- 100 Macs Quote Optiv 9.6.18","Optiv",,"Professional Service-JP","07/28/2019","","East West Bank- 100 Macs Quote Optiv 9.6.18",0,5750,"Premium",1,"Optiv","0014600001YFzVwAAL",37704,"A/E","Billed"
"INV","Celigo_Test_ACC",,"Q-94543","01/12/2019","SO-0001",1,"SO-0001_a2m46000000vhNWAAY",,,"CASB-1BU-1YSS",1,0,12.03,"USD","1","USD","1","25640","Deferred Revenue : Contract Liability - Subscription","44100","Subscriptions - SaaS","","","","","","","","","Y","Y","Celigo_Test_ACC",,"Direct","N","Subscription","0064600000LoB3aAAF","",,,0,"","IDaptive App Service Standard - 1 B2B User - Tier 1 - 1 Year Standard Support","","","N","Net 30","N","01/12/2020","01/12/2019","","N","Celigo_Test_Oppty-2","Celigo_Test_ACC",,"Subscription","07/28/2019","","Celigo_Test_Oppty-2",0,12.03,"Standard",0.50137,"","0014600001Z4L44AAF",4666,"A/E","Billed"
"INV","Flatiron Construction Corporation","P17063641","Q-94692","01/24/2019","SO-0005",1,"SO-0005_a2m46000000vihqAAA","01/24/2019","04/23/2021","IMPCMS-1U-2YPS",40,1967.6,2372.4,"USD","1","USD","1","25640","Deferred Revenue : Contract Liability - Subscription","44100","Subscriptions - SaaS","","","","","","","","","Y","Y","Flatiron Construction Corporation","SHI International Corp","Indirect","N","Subscription","0064600000LoAn9AAF","","North America",,0,"","IDaptive Mac and PC Management Service - 1 User - 2 Year Premium Support","","","N","Net 30","N","01/31/2019","01/24/2019","","N","Flatiron - Endpoint - SHI","SHI International Corp",,"Subscription","07/28/2019","","Flatiron - Endpoint - SHI",0,2372.4,"Premium",2.246575,"","0014600001YG4qoAAD",2400,"Not Applicable","Billed"
"INV","Prospect Capital Management","THV7616","Q-96007","01/30/2019","SO-0009",1,"SO-0009_a2m46000000vrtlAAA","01/29/2019","01/28/2020","CASB-1EU-1YPS",120,7128,7920,"USD","1","USD","1","25640","Deferred Revenue : Contract Liability - Subscription","44100","Subscriptions - SaaS","","","","","","","","","Y","Y","Prospect Capital Management","CDW - HQ","Indirect","N","Subscription","0064600000LnIJwAAN","","North America",,0,"","IDaptive App Service Standard - 1 B2E User - 1 Year Premium Support","","","N","1% 12  Net 45","N","01/31/2019","01/29/2019","","N","Prospect Capital Management - 120 Users App - CDW","CDW - HQ",,"Subscription","07/28/2019","","Prospect Capital Management - 120 Users App - CDW",0,7920,"Premium",1,"CDW","0014600001YFrpMAAT",39305,"A/E","Billed"
"INV","Prospect Capital Management","THV7616","Q-96007","01/30/2019","SO-0009",2,"SO-0009_a2m46000000vrtmAAA","01/29/2019","07/27/2019","CCS-AS-BJS",1,6080,6400,"USD","1","USD","1","25630","Deferred Revenue : Contract Liability - Professional Services","42110","Delivered Pre-billed Consulting","","","","","","","","","Y","Y","Prospect Capital Management","CDW - HQ","Indirect","N","PS","0064600000LnIJwAAN","","North America",,0,"","IDaptive Professional Services - Application Services - Basic Jump Start","","","N","1% 12  Net 45","N","01/31/2019","01/29/2019",,"N","Prospect Capital Management - 120 Users App - CDW","CDW - HQ",,"Professional Service-JP","07/28/2019","","Prospect Capital Management - 120 Users App - CDW",0,6400,"Premium",1,"CDW","0014600001YFrpMAAT",39305,"A/E","Billed"
"INV","Prospect Capital Management","THV7616","Q-96007","01/30/2019","SO-0009",3,"SO-0009_a2m46000000vrtnAAA","01/29/2019","07/27/2019","CTS-CAS-VILT-1S",1,2137.5,2250,"USD","1","USD","1","25630","Deferred Revenue : Contract Liability - Professional Services","45000","Training","","","","","","","","","Y","Y","Prospect Capital Management","CDW - HQ","Indirect","N","PS","0064600000LnIJwAAN","","North America",,0,"","IDaptive Training - IDaptive Application Services - VILT, 3 days, 1 student","","","N","1% 12  Net 45","N","01/31/2019","01/29/2019",,"N","Prospect Capital Management - 120 Users App - CDW","CDW - HQ",,"Professional Service-Training","07/28/2019","","Prospect Capital Management - 120 Users App - CDW",0,2250,"Premium",1,"CDW","0014600001YFrpMAAT",39305,"A/E","Billed"
"INV","Cardiovascular Research Foundation","TLI1858","Q-96045","01/30/2019","SO-0012",1,"SO-0012_a2m46000000w0AxAAI","02/03/2019","02/02/2020","RCSWE-10MACW-M-1YPS",1,292.5,325,"USD","1","USD","1","25620","Deferred Revenue : Contract Liability - Maintenance","43200","Maintenance Renewal","","","","","","","","","Y","Y","Cardiovascular Research Foundation","CDW - HQ","Indirect","N","Maintenance Renewal","0064600000Ln7vOAAR","","North America","Premium<250",0,"","IDaptive for Mac - 10 Mac Workstation Maintenance - 1 Year Premium Support - Renewal","","","N","1% 12  Net 45","N","01/31/2019","01/30/2019","","Y","REN: Cardiovascular Research Foundation - 2019-02-02","CDW - HQ",,"Maintenance Renewal","07/28/2019","","REN: Cardiovascular Research Foundation - 2019-02-02",0,325,"Premium",1,"CDW","0014600001YFxUfAAL",2160,"A/E","Billed"
"INV","Idaptive Test","TEST 1","Q-94531","01/23/2019","SO-0002",1,"SO-0002_a2m46000000w2LxAAI",,,"IMPCMS-1U-1YPS",10,0,264,"USD","1","USD","1","25640","Deferred Revenue : Contract Liability - Subscription","44100","Subscriptions - SaaS","","","","","","","","","Y","Y","Idaptive Test",,"Indirect","N","Subscription","0064600000Lo8JPAAZ","","North America",,0,"","IDaptive Mac and PC Management Service - 1 User - 1 Year Premium Support","","","N","Net 30","N","01/22/2019","01/22/2019","","N","Idaptive Test-Test Opp","Idaptive Test",,"Subscription","07/28/2019","","Idaptive Test-Test Opp",0,264,"Premium",1,"","0014600001Z4EIOAA3",22597,"Not Applicable","Billed"
"INV","MET OFFICE","TEST 2","Q-96082","01/24/2019","SO-0004",1,"SO-0004_a2m46000000w5LLAAY",,,"RCASB-1EU-2YPS",200,0,27720,"USD","1","USD","1","25640","Deferred Revenue : Contract Liability - Subscription","44200","Subscriptions - SaaS Renewal","","","","","","","","","Y","Y","MET OFFICE",,"Direct","N","Subscription","0064600000LoeS6AAJ","","EMEA",,0,"","IDaptive App Service Standard - 1 B2E User - 2 Year Premium Support - Renewal","","","N","Net 30","N","01/23/2019","01/24/2019","","Y","TESTOPP MET OFFICE","MET OFFICE",,"Subscription","07/28/2019","","TESTOPP MET OFFICE",0,27720,"Premium",2,"","0014600001YG40tAAD",2647,"A/E","Billed"
"INV","MET OFFICE","TEST 2","Q-96082","01/24/2019","SO-0004",2,"SO-0004_a2m46000000w5LMAAY",,,"RIESB-1U1E-2YPS",200,0,11088,"USD","1","USD","1","25640","Deferred Revenue : Contract Liability - Subscription","44200","Subscriptions - SaaS Renewal","","","","","","","","","Y","Y","MET OFFICE",,"Direct","N","Subscription","0064600000LoeS6AAJ","","EMEA",,0,"","IDaptive Endpoint Service Standard - 1 User - 2 Year Premium Support - Renewal","","","N","Net 30","N","01/23/2019","01/24/2019","","Y","TESTOPP MET OFFICE","MET OFFICE",,"Subscription","07/28/2019","","TESTOPP MET OFFICE",0,11088,"Premium",1,"","0014600001YG40tAAD",2647,"Not Applicable","Billed"
"INV","CONTINENTAL GOLD LIMITED SUCURSAL COLOMBIA","CO-PO-135309","Q-57526","01/30/2019","SO-0011",1,"SO-0011_a2m46000000w5NAAAY","11/28/2018","11/27/2019","RCASB-1EU-1YPS",250,8102.5,16500,"USD","1","USD","1","25640","Deferred Revenue : Contract Liability - Subscription","44200","Subscriptions - SaaS Renewal","","","","","","","","","Y","Y","CONTINENTAL GOLD LIMITED SUCURSAL COLOMBIA","SoftwareONE, Inc. : SoftwareONE Colombia","Indirect","N","Subscription","0064600000LnA6JAAV","","Latin America",,0,"","IDaptive App Service Standard - 1 B2E User - 1 Year Premium Support - Renewal","","","N","Net 30","N","01/30/2019","01/30/2019","","Y","SUBREN: CONTINENTAL GOLD Colombia - CIS","SoftwareONE, Inc. : SoftwareONE Colombia",,"Subscription","07/28/2019","","SUBREN: CONTINENTAL GOLD Colombia - CIS 2019",0,16500,"Premium",1,"","0014600001YFwIIAA1",15066,"A/E","Billed"
